frame.encap_type,frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49290,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49290,0,2378268135,0,0,0,0,0,1,0,1,0,0,0,0.000033000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49292,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49292,0,2295385878,0,0,0,0,0,1,0,1,0,0,0,0.000034000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49294,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49294,0,1042875205,0,0,0,0,0,1,0,1,0,0,0,0.000033000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49296,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49296,0,4109995446,0,0,0,0,0,1,0,1,0,0,0,0.000032000
1,74,eth:ethertype:ip:tcp,20,60,0,1,0,0,64,6,172.16.129.132,172.16.129.1,49298,53,0,0,0,0,0,0,0,0,0,0,1,0,64240,0.000000000
1,54,eth:ethertype:ip:tcp,20,40,0,1,0,0,64,6,172.16.129.1,172.16.129.132,53,49298,0,3669821251,0,0,0,0,0,1,0,1,0,0,0,0.000033000
